Region and country of nationality,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Total,"16,871","14,890","14,425","17,807","11,620","15,815","24,543","26,979","16,363","10,325"
Afghanistan,149,94,103,155,84,90,75,76,40,104
Albania,21,12,25,29,7,16,48,50,14,28
Algeria,12,3,8,6,4,7,18,30,12,16
Angola,9,8,7,32,7,15,38,31,21,12
Armenia,36,76,89,45,13,34,113,126,62,21
Azerbaijan,27,21,16,15,14,18,71,93,74,20
Bahrain,22,4,D,D,-,D,-,D,3,4
Bangladesh,29,38,137,131,44,108,141,66,43,17
Belarus,200,106,48,72,17,34,136,171,68,67
Bolivia,21,3,D,3,5,-,6,8,D,9
Bosnia and Herzegovina,8,5,3,6,D,D,10,10,5,D
Brazil,46,27,24,30,17,30,110,187,124,63
Bulgaria,18,13,18,12,4,5,7,11,8,D
Burkina Faso,56,65,64,42,28,59,113,73,39,39
Burma,98,48,36,41,9,25,74,129,95,107
Burundi,19,24,69,75,46,35,43,35,35,11
Cambodia,-,3,9,-,-,D,12,10,D,5
Cameroon,244,144,106,107,51,102,203,244,146,137
Central African Republic,8,10,13,16,4,10,19,15,6,4
Chad,10,6,8,10,7,10,30,6,13,8
"China, People's Republic","4,622","4,005","3,896","2,593","1,409","2,820","3,763","3,957","2,808","1,195"
Colombia,282,165,226,245,73,74,312,281,278,162
"Congo, Democratic Republic",68,51,36,70,38,57,83,83,50,33
"Congo, Republic",72,65,50,65,30,69,105,82,54,41
Cote d'Ivoire,109,54,24,39,19,36,46,26,22,19
Cuba,21,24,10,7,4,D,D,10,14,29
Djibouti,14,6,8,50,39,17,23,33,33,17
Dominican Republic,16,4,3,7,3,D,5,15,12,D
Ecuador,18,13,15,137,83,65,60,37,23,27
Egypt,"2,556","3,065","2,585","1,512",682,"1,007","1,382","2,104","1,303",654
El Salvador,118,65,177,"1,853","1,376","2,105","1,136",861,262,310
Eritrea,113,83,147,244,257,352,329,249,172,63
Ethiopia,646,474,504,619,300,293,396,298,213,297
Fiji,17,10,20,4,7,5,D,3,D,D
Gabon,6,-,6,3,-,D,10,5,10,D
Gambia,111,56,53,85,61,86,70,51,32,27
Georgia,10,11,17,22,27,25,50,54,32,17
Ghana,8,5,7,10,12,5,10,9,5,5
Guatemala,291,215,320,"1,690","1,269","1,995","1,300","1,034",416,456
Guinea,43,24,21,67,29,63,78,52,51,38
