Unnamed: 0,cellID,cellType,sampleInfo,Ontology Id
Cell1,Cell1,Acinar_cells,sample1,CL:0000322
Cell2,Cell2,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell3,Cell3,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell4,Cell4,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell5,Cell5,Cancer_clone_A,sample1,CL:0000151
Cell6,Cell6,Cancer_clone_A,sample1,CL:0000540
Cell7,Cell7,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell8,Cell8,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell9,Cell9,Ductal_MHC_Class_II,sample1,CL:0000151
Cell10,Cell10,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell11,Cell11,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell12,Cell12,Cancer_clone_B,sample1,CL:0000151
Cell13,Cell13,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell14,Cell14,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell15,Cell15,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell16,Cell16,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell17,Cell17,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell18,Cell18,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell19,Cell19,Cancer_clone_A,sample1,CL:0000540
Cell20,Cell20,Ductal_MHC_Class_II,sample1,CL:0000126
Cell21,Cell21,Cancer_clone_B,sample1,CL:0000540
Cell22,Cell22,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell23,Cell23,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell24,Cell24,Ductal_MHC_Class_II,sample1,CL:0000322
Cell25,Cell25,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell26,Cell26,Cancer_clone_B,sample1,CL:0000322
Cell27,Cell27,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell28,Cell28,mDCs_A,sample1,CL:0000123
Cell29,Cell29,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell30,Cell30,Ductal_APOL1_high-hypoxic,sample1,CL:0000540
Cell31,Cell31,Cancer_clone_B,sample1,CL:0000322
Cell32,Cell32,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell33,Cell33,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell34,Cell34,Cancer_clone_B,sample1,CL:0000151
Cell35,Cell35,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell36,Cell36,Ductal_APOL1_high-hypoxic,sample1,CL:0000540
Cell37,Cell37,Cancer_clone_B,sample1,CL:0000322
Cell38,Cell38,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell39,Cell39,Cancer_clone_A,sample1,CL:0000151
Cell40,Cell40,Cancer_clone_A,sample1,CL:0000151
Cell41,Cell41,Cancer_clone_B,sample1,CL:0000151
Cell42,Cell42,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell43,Cell43,mDCs_A,sample1,CL:0000126
Cell44,Cell44,Tuft_cells,sample1,CL:0000540
Cell45,Cell45,mDCs_B,sample1,CL:0002150
Cell46,Cell46,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell47,Cell47,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell48,Cell48,Ductal_MHC_Class_II,sample1,CL:0000151
Cell49,Cell49,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell50,Cell50,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell51,Cell51,Cancer_clone_A,sample1,CL:0000322
Cell52,Cell52,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell53,Cell53,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell54,Cell54,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell55,Cell55,Cancer_clone_A,sample1,CL:0000540
Cell56,Cell56,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell57,Cell57,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell58,Cell58,Ductal_MHC_Class_II,sample1,CL:0000322
Cell59,Cell59,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell60,Cell60,Cancer_clone_B,sample1,CL:0000322
Cell61,Cell61,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell62,Cell62,Ductal_MHC_Class_II,sample1,CL:0000064
Cell63,Cell63,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell64,Cell64,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell65,Cell65,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
